,0
jump,0
shake_hands,1
swing_baseball,2
situp,3
dive,4
pick,5
turn,6
draw_sword,7
shoot_bow,8
kick_ball,9
stand,10
kick,11
shoot_ball,12
dribble,13
somersault,14
wave,15
push,16
climb,17
golf,18
clap,19
kiss,20
climb_stairs,21
catch,22
ride_horse,23
smoke,24
sword_exercise,25
run,26
brush_hair,27
sword,28
ride_bike,29
fall_floor,30
flic_flac,31
pullup,32
shoot_gun,33
hit,34
hug,35
walk,36
punch,37
cartwheel,38
smile,39
eat,40
throw,41
laugh,42
chew,43
talk,44
pour,45
drink,46
pushup,47
fencing,48
handstand,49
sit,50
